,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy,Motor_Status
0,0,1,1,3,SR,-0.8,0.1,0.5483870967741935,0.0
1,1,1,2,3,SR,-0.8,0.1,0.6451612903225806,0.0
2,2,1,3,3,SR,-0.8,0.1,0.5806451612903226,0.0
3,3,1,4,3,SR,-0.8,0.1,0.7741935483870968,0.0
4,4,1,5,3,SR,-0.8,0.1,0.4838709677419355,1.0
5,5,1,6,3,SR,-0.8,0.1,0.5806451612903226,1.0
6,6,1,7,3,SR,-0.8,0.1,0.6129032258064516,1.0
7,7,1,8,3,SR,-0.8,0.1,0.5161290322580645,1.0
8,8,2,1,3,SR,-0.8,0.1,0.5161290322580645,0.0
9,9,2,2,3,SR,-0.8,0.1,0.5161290322580645,0.0
10,10,2,3,3,SR,-0.8,0.1,0.4838709677419355,0.0
11,11,2,4,3,SR,-0.8,0.1,0.5483870967741935,0.0
12,12,2,5,3,SR,-0.8,0.1,0.5161290322580645,1.0
13,13,2,6,3,SR,-0.8,0.1,0.6451612903225806,1.0
14,14,2,7,3,SR,-0.8,0.1,0.6129032258064516,1.0
15,15,2,8,3,SR,-0.8,0.1,0.5161290322580645,1.0
16,16,3,1,3,SR,-0.8,0.1,0.4516129032258064,0.0
17,17,3,2,3,SR,-0.8,0.1,0.4838709677419355,0.0
18,18,3,3,3,SR,-0.8,0.1,0.5806451612903226,0.0
19,19,3,4,3,SR,-0.8,0.1,0.5161290322580645,1.0
20,20,3,5,3,SR,-0.8,0.1,0.3548387096774194,1.0
21,21,3,6,3,SR,-0.8,0.1,0.3870967741935484,1.0
22,22,3,7,3,SR,-0.8,0.1,0.3870967741935484,1.0
23,23,3,8,3,SR,-0.8,0.1,0.4193548387096774,1.0
24,24,4,1,3,SR,-0.8,0.1,0.5161290322580645,0.0
25,25,4,2,3,SR,-0.8,0.1,0.4838709677419355,0.0
26,26,4,3,3,SR,-0.8,0.1,0.5806451612903226,0.0
27,27,4,4,3,SR,-0.8,0.1,0.3548387096774194,1.0
28,28,4,5,3,SR,-0.8,0.1,0.3548387096774194,1.0
29,29,4,6,3,SR,-0.8,0.1,0.2580645161290322,1.0
30,30,4,7,3,SR,-0.8,0.1,0.2580645161290322,1.0
31,31,4,8,3,SR,-0.8,0.1,0.4193548387096774,1.0
32,32,5,1,3,SR,-0.8,0.1,0.6774193548387096,0.0
33,33,5,2,3,SR,-0.8,0.1,0.4838709677419355,0.0
34,34,5,3,3,SR,-0.8,0.1,0.6774193548387096,1.0
35,35,5,4,3,SR,-0.8,0.1,0.4193548387096774,1.0
36,36,5,5,3,SR,-0.8,0.1,0.3870967741935484,1.0
37,37,5,6,3,SR,-0.8,0.1,0.2903225806451613,1.0
38,38,5,7,3,SR,-0.8,0.1,0.1935483870967742,1.0
39,39,5,8,3,SR,-0.8,0.1,0.3870967741935484,1.0
40,40,6,1,3,SR,-0.8,0.1,0.6129032258064516,0.0
41,41,6,2,3,SR,-0.8,0.1,0.5806451612903226,0.0
42,42,6,3,3,SR,-0.8,0.1,0.6451612903225806,1.0
43,43,6,4,3,SR,-0.8,0.1,0.5161290322580645,1.0
44,44,6,5,3,SR,-0.8,0.1,0.3870967741935484,1.0
45,45,6,6,3,SR,-0.8,0.1,0.3870967741935484,1.0
46,46,6,7,3,SR,-0.8,0.1,0.6774193548387096,1.0
47,47,6,8,3,SR,-0.8,0.1,0.6451612903225806,1.0
48,48,7,1,3,SR,-0.8,0.1,0.6451612903225806,0.0
49,49,7,2,3,SR,-0.8,0.1,0.5806451612903226,1.0
50,50,7,3,3,SR,-0.8,0.1,0.5806451612903226,1.0
51,51,7,4,3,SR,-0.8,0.1,0.3870967741935484,1.0
52,52,7,5,3,SR,-0.8,0.1,0.3870967741935484,1.0
53,53,7,6,3,SR,-0.8,0.1,0.4838709677419355,1.0
54,54,7,7,3,SR,-0.8,0.1,0.6129032258064516,1.0
55,55,7,8,3,SR,-0.8,0.1,0.8064516129032258,1.0
56,56,8,1,3,SR,-0.8,0.1,0.6774193548387096,0.0
57,57,8,2,3,SR,-0.8,0.1,0.6129032258064516,1.0
58,58,8,3,3,SR,-0.8,0.1,0.4516129032258064,1.0
59,59,8,4,3,SR,-0.8,0.1,0.4838709677419355,1.0
60,60,8,5,3,SR,-0.8,0.1,0.7419354838709677,1.0
61,61,8,6,3,SR,-0.8,0.1,0.8064516129032258,1.0
62,62,8,7,3,SR,-0.8,0.1,0.7741935483870968,1.0
63,63,8,8,3,SR,-0.8,0.1,0.8064516129032258,1.0
64,0,1,1,3,SR,-0.7,0.1,0.6451612903225806,0.0
65,1,1,2,3,SR,-0.7,0.1,0.5806451612903226,0.0
66,2,1,3,3,SR,-0.7,0.1,0.6451612903225806,0.0
67,3,1,4,3,SR,-0.7,0.1,0.6129032258064516,0.0
68,4,1,5,3,SR,-0.7,0.1,0.4838709677419355,1.0
69,5,1,6,3,SR,-0.7,0.1,0.4838709677419355,1.0
70,6,1,7,3,SR,-0.7,0.1,0.4193548387096774,1.0
71,7,1,8,3,SR,-0.7,0.1,0.5161290322580645,1.0
72,8,2,1,3,SR,-0.7,0.1,0.5483870967741935,0.0
73,9,2,2,3,SR,-0.7,0.1,0.4838709677419355,0.0
74,10,2,3,3,SR,-0.7,0.1,0.5806451612903226,0.0
75,11,2,4,3,SR,-0.7,0.1,0.6129032258064516,0.0
76,12,2,5,3,SR,-0.7,0.1,0.6129032258064516,1.0
77,13,2,6,3,SR,-0.7,0.1,0.5483870967741935,1.0
78,14,2,7,3,SR,-0.7,0.1,0.4838709677419355,1.0
79,15,2,8,3,SR,-0.7,0.1,0.4838709677419355,1.0
80,16,3,1,3,SR,-0.7,0.1,0.5483870967741935,0.0
81,17,3,2,3,SR,-0.7,0.1,0.4193548387096774,0.0
82,18,3,3,3,SR,-0.7,0.1,0.4516129032258064,0.0
83,19,3,4,3,SR,-0.7,0.1,0.6129032258064516,1.0
84,20,3,5,3,SR,-0.7,0.1,0.5161290322580645,1.0
85,21,3,6,3,SR,-0.7,0.1,0.5806451612903226,1.0
86,22,3,7,3,SR,-0.7,0.1,0.3548387096774194,1.0
87,23,3,8,3,SR,-0.7,0.1,0.4838709677419355,1.0
88,24,4,1,3,SR,-0.7,0.1,0.3548387096774194,0.0
89,25,4,2,3,SR,-0.7,0.1,0.2903225806451613,0.0
90,26,4,3,3,SR,-0.7,0.1,0.4838709677419355,0.0
91,27,4,4,3,SR,-0.7,0.1,0.6451612903225806,1.0
92,28,4,5,3,SR,-0.7,0.1,0.4516129032258064,1.0
93,29,4,6,3,SR,-0.7,0.1,0.3548387096774194,1.0
94,30,4,7,3,SR,-0.7,0.1,0.3870967741935484,1.0
95,31,4,8,3,SR,-0.7,0.1,0.5483870967741935,1.0
96,32,5,1,3,SR,-0.7,0.1,0.4193548387096774,0.0
97,33,5,2,3,SR,-0.7,0.1,0.3870967741935484,0.0
98,34,5,3,3,SR,-0.7,0.1,0.6129032258064516,1.0
99,35,5,4,3,SR,-0.7,0.1,0.5806451612903226,1.0
100,36,5,5,3,SR,-0.7,0.1,0.4838709677419355,1.0
101,37,5,6,3,SR,-0.7,0.1,0.4838709677419355,1.0
102,38,5,7,3,SR,-0.7,0.1,0.4838709677419355,1.0
103,39,5,8,3,SR,-0.7,0.1,0.4516129032258064,1.0
104,40,6,1,3,SR,-0.7,0.1,0.6774193548387096,0.0
105,41,6,2,3,SR,-0.7,0.1,0.5806451612903226,0.0
106,42,6,3,3,SR,-0.7,0.1,0.6129032258064516,1.0
107,43,6,4,3,SR,-0.7,0.1,0.5483870967741935,1.0
108,44,6,5,3,SR,-0.7,0.1,0.6129032258064516,1.0
109,45,6,6,3,SR,-0.7,0.1,0.4193548387096774,1.0
110,46,6,7,3,SR,-0.7,0.1,0.5483870967741935,1.0
111,47,6,8,3,SR,-0.7,0.1,0.3870967741935484,1.0
112,48,7,1,3,SR,-0.7,0.1,0.7419354838709677,0.0
113,49,7,2,3,SR,-0.7,0.1,0.7096774193548387,1.0
114,50,7,3,3,SR,-0.7,0.1,0.5161290322580645,1.0
115,51,7,4,3,SR,-0.7,0.1,0.4838709677419355,1.0
116,52,7,5,3,SR,-0.7,0.1,0.5483870967741935,1.0
117,53,7,6,3,SR,-0.7,0.1,0.5483870967741935,1.0
118,54,7,7,3,SR,-0.7,0.1,0.4838709677419355,1.0
119,55,7,8,3,SR,-0.7,0.1,0.7096774193548387,1.0
120,56,8,1,3,SR,-0.7,0.1,0.8387096774193549,0.0
121,57,8,2,3,SR,-0.7,0.1,0.7741935483870968,1.0
122,58,8,3,3,SR,-0.7,0.1,0.6129032258064516,1.0
123,59,8,4,3,SR,-0.7,0.1,0.5483870967741935,1.0
124,60,8,5,3,SR,-0.7,0.1,0.7096774193548387,1.0
125,61,8,6,3,SR,-0.7,0.1,0.7419354838709677,1.0
126,62,8,7,3,SR,-0.7,0.1,0.6451612903225806,1.0
127,63,8,8,3,SR,-0.7,0.1,0.8064516129032258,1.0
128,0,1,1,3,SR,-0.6,0.1,0.5806451612903226,0.0
129,1,1,2,3,SR,-0.6,0.1,0.3870967741935484,0.0
130,2,1,3,3,SR,-0.6,0.1,0.4838709677419355,0.0
131,3,1,4,3,SR,-0.6,0.1,0.4516129032258064,0.0
132,4,1,5,3,SR,-0.6,0.1,0.5161290322580645,1.0
133,5,1,6,3,SR,-0.6,0.1,0.3548387096774194,1.0
134,6,1,7,3,SR,-0.6,0.1,0.6451612903225806,1.0
135,7,1,8,3,SR,-0.6,0.1,0.4838709677419355,1.0
136,8,2,1,3,SR,-0.6,0.1,0.6774193548387096,0.0
137,9,2,2,3,SR,-0.6,0.1,0.3225806451612903,0.0
138,10,2,3,3,SR,-0.6,0.1,0.4193548387096774,0.0
139,11,2,4,3,SR,-0.6,0.1,0.4193548387096774,0.0
140,12,2,5,3,SR,-0.6,0.1,0.5483870967741935,1.0
141,13,2,6,3,SR,-0.6,0.1,0.5806451612903226,1.0
142,14,2,7,3,SR,-0.6,0.1,0.5806451612903226,1.0
143,15,2,8,3,SR,-0.6,0.1,0.5806451612903226,1.0
144,16,3,1,3,SR,-0.6,0.1,0.5483870967741935,0.0
145,17,3,2,3,SR,-0.6,0.1,0.3548387096774194,0.0
146,18,3,3,3,SR,-0.6,0.1,0.5161290322580645,0.0
147,19,3,4,3,SR,-0.6,0.1,0.4516129032258064,1.0
148,20,3,5,3,SR,-0.6,0.1,0.4193548387096774,1.0
149,21,3,6,3,SR,-0.6,0.1,0.4193548387096774,1.0
150,22,3,7,3,SR,-0.6,0.1,0.3870967741935484,1.0
151,23,3,8,3,SR,-0.6,0.1,0.5161290322580645,1.0
152,24,4,1,3,SR,-0.6,0.1,0.4838709677419355,0.0
153,25,4,2,3,SR,-0.6,0.1,0.4516129032258064,0.0
154,26,4,3,3,SR,-0.6,0.1,0.5483870967741935,0.0
155,27,4,4,3,SR,-0.6,0.1,0.5483870967741935,1.0
156,28,4,5,3,SR,-0.6,0.1,0.3870967741935484,1.0
157,29,4,6,3,SR,-0.6,0.1,0.3548387096774194,1.0
158,30,4,7,3,SR,-0.6,0.1,0.3870967741935484,1.0
159,31,4,8,3,SR,-0.6,0.1,0.4838709677419355,1.0
160,32,5,1,3,SR,-0.6,0.1,0.6129032258064516,0.0
161,33,5,2,3,SR,-0.6,0.1,0.5806451612903226,0.0
162,34,5,3,3,SR,-0.6,0.1,0.4838709677419355,1.0
163,35,5,4,3,SR,-0.6,0.1,0.3870967741935484,1.0
164,36,5,5,3,SR,-0.6,0.1,0.3870967741935484,1.0
165,37,5,6,3,SR,-0.6,0.1,0.2580645161290322,1.0
166,38,5,7,3,SR,-0.6,0.1,0.4193548387096774,1.0
167,39,5,8,3,SR,-0.6,0.1,0.4838709677419355,1.0
168,40,6,1,3,SR,-0.6,0.1,0.5806451612903226,0.0
169,41,6,2,3,SR,-0.6,0.1,0.6129032258064516,0.0
170,42,6,3,3,SR,-0.6,0.1,0.5161290322580645,1.0
171,43,6,4,3,SR,-0.6,0.1,0.5161290322580645,1.0
172,44,6,5,3,SR,-0.6,0.1,0.4516129032258064,1.0
173,45,6,6,3,SR,-0.6,0.1,0.3870967741935484,1.0
174,46,6,7,3,SR,-0.6,0.1,0.3548387096774194,1.0
175,47,6,8,3,SR,-0.6,0.1,0.5483870967741935,1.0
176,48,7,1,3,SR,-0.6,0.1,0.5483870967741935,0.0
177,49,7,2,3,SR,-0.6,0.1,0.4516129032258064,1.0
178,50,7,3,3,SR,-0.6,0.1,0.5483870967741935,1.0
179,51,7,4,3,SR,-0.6,0.1,0.4193548387096774,1.0
180,52,7,5,3,SR,-0.6,0.1,0.3870967741935484,1.0
181,53,7,6,3,SR,-0.6,0.1,0.5161290322580645,1.0
182,54,7,7,3,SR,-0.6,0.1,0.6451612903225806,1.0
183,55,7,8,3,SR,-0.6,0.1,0.8064516129032258,1.0
184,56,8,1,3,SR,-0.6,0.1,0.7419354838709677,0.0
185,57,8,2,3,SR,-0.6,0.1,0.7741935483870968,1.0
186,58,8,3,3,SR,-0.6,0.1,0.5483870967741935,1.0
187,59,8,4,3,SR,-0.6,0.1,0.4838709677419355,1.0
188,60,8,5,3,SR,-0.6,0.1,0.5806451612903226,1.0
189,61,8,6,3,SR,-0.6,0.1,0.5483870967741935,1.0
190,62,8,7,3,SR,-0.6,0.1,0.6774193548387096,1.0
191,63,8,8,3,SR,-0.6,0.1,0.8387096774193549,1.0
192,0,1,1,3,SR,-0.5,0.1,0.4838709677419355,0.0
193,1,1,2,3,SR,-0.5,0.1,0.6451612903225806,0.0
194,2,1,3,3,SR,-0.5,0.1,0.3548387096774194,0.0
195,3,1,4,3,SR,-0.5,0.1,0.5483870967741935,0.0
196,4,1,5,3,SR,-0.5,0.1,0.4193548387096774,1.0
197,5,1,6,3,SR,-0.5,0.1,0.5161290322580645,1.0
198,6,1,7,3,SR,-0.5,0.1,0.5806451612903226,1.0
199,7,1,8,3,SR,-0.5,0.1,0.5483870967741935,1.0
200,8,2,1,3,SR,-0.5,0.1,0.4838709677419355,0.0
201,9,2,2,3,SR,-0.5,0.1,0.4516129032258064,0.0
202,10,2,3,3,SR,-0.5,0.1,0.4193548387096774,0.0
203,11,2,4,3,SR,-0.5,0.1,0.4516129032258064,0.0
204,12,2,5,3,SR,-0.5,0.1,0.4838709677419355,1.0
205,13,2,6,3,SR,-0.5,0.1,0.5483870967741935,1.0
206,14,2,7,3,SR,-0.5,0.1,0.5806451612903226,1.0
207,15,2,8,3,SR,-0.5,0.1,0.5806451612903226,1.0
208,16,3,1,3,SR,-0.5,0.1,0.5483870967741935,0.0
209,17,3,2,3,SR,-0.5,0.1,0.4838709677419355,0.0
210,18,3,3,3,SR,-0.5,0.1,0.4838709677419355,0.0
211,19,3,4,3,SR,-0.5,0.1,0.4516129032258064,1.0
212,20,3,5,3,SR,-0.5,0.1,0.3548387096774194,1.0
213,21,3,6,3,SR,-0.5,0.1,0.4193548387096774,1.0
214,22,3,7,3,SR,-0.5,0.1,0.3870967741935484,1.0
215,23,3,8,3,SR,-0.5,0.1,0.5483870967741935,1.0
216,24,4,1,3,SR,-0.5,0.1,0.3870967741935484,0.0
217,25,4,2,3,SR,-0.5,0.1,0.4193548387096774,0.0
218,26,4,3,3,SR,-0.5,0.1,0.3870967741935484,0.0
219,27,4,4,3,SR,-0.5,0.1,0.4838709677419355,1.0
220,28,4,5,3,SR,-0.5,0.1,0.4193548387096774,1.0
221,29,4,6,3,SR,-0.5,0.1,0.5806451612903226,1.0
222,30,4,7,3,SR,-0.5,0.1,0.4516129032258064,1.0
223,31,4,8,3,SR,-0.5,0.1,0.5161290322580645,1.0
224,32,5,1,3,SR,-0.5,0.1,0.4516129032258064,0.0
225,33,5,2,3,SR,-0.5,0.1,0.4516129032258064,0.0
226,34,5,3,3,SR,-0.5,0.1,0.6129032258064516,1.0
227,35,5,4,3,SR,-0.5,0.1,0.5483870967741935,1.0
228,36,5,5,3,SR,-0.5,0.1,0.4838709677419355,1.0
229,37,5,6,3,SR,-0.5,0.1,0.5161290322580645,1.0
230,38,5,7,3,SR,-0.5,0.1,0.4193548387096774,1.0
231,39,5,8,3,SR,-0.5,0.1,0.4193548387096774,1.0
232,40,6,1,3,SR,-0.5,0.1,0.5806451612903226,0.0
233,41,6,2,3,SR,-0.5,0.1,0.4193548387096774,0.0
234,42,6,3,3,SR,-0.5,0.1,0.5161290322580645,1.0
235,43,6,4,3,SR,-0.5,0.1,0.5483870967741935,1.0
236,44,6,5,3,SR,-0.5,0.1,0.5161290322580645,1.0
237,45,6,6,3,SR,-0.5,0.1,0.7419354838709677,1.0
238,46,6,7,3,SR,-0.5,0.1,0.6451612903225806,1.0
239,47,6,8,3,SR,-0.5,0.1,0.6129032258064516,1.0
240,48,7,1,3,SR,-0.5,0.1,0.4193548387096774,0.0
241,49,7,2,3,SR,-0.5,0.1,0.4193548387096774,1.0
242,50,7,3,3,SR,-0.5,0.1,0.5161290322580645,1.0
243,51,7,4,3,SR,-0.5,0.1,0.3870967741935484,1.0
244,52,7,5,3,SR,-0.5,0.1,0.5161290322580645,1.0
245,53,7,6,3,SR,-0.5,0.1,0.4516129032258064,1.0
246,54,7,7,3,SR,-0.5,0.1,0.4193548387096774,1.0
247,55,7,8,3,SR,-0.5,0.1,0.6129032258064516,1.0
248,56,8,1,3,SR,-0.5,0.1,0.8064516129032258,0.0
249,57,8,2,3,SR,-0.5,0.1,0.8064516129032258,1.0
250,58,8,3,3,SR,-0.5,0.1,0.4838709677419355,1.0
251,59,8,4,3,SR,-0.5,0.1,0.4193548387096774,1.0
252,60,8,5,3,SR,-0.5,0.1,0.5161290322580645,1.0
253,61,8,6,3,SR,-0.5,0.1,0.6129032258064516,1.0
254,62,8,7,3,SR,-0.5,0.1,0.6774193548387096,1.0
255,63,8,8,3,SR,-0.5,0.1,0.7419354838709677,1.0
256,0,1,1,3,SR,-0.4,0.1,0.5806451612903226,0.0
257,1,1,2,3,SR,-0.4,0.1,0.5806451612903226,0.0
258,2,1,3,3,SR,-0.4,0.1,0.4516129032258064,0.0
259,3,1,4,3,SR,-0.4,0.1,0.5161290322580645,0.0
260,4,1,5,3,SR,-0.4,0.1,0.4193548387096774,1.0
261,5,1,6,3,SR,-0.4,0.1,0.5483870967741935,1.0
262,6,1,7,3,SR,-0.4,0.1,0.3870967741935484,1.0
263,7,1,8,3,SR,-0.4,0.1,0.4838709677419355,1.0
264,8,2,1,3,SR,-0.4,0.1,0.6129032258064516,0.0
265,9,2,2,3,SR,-0.4,0.1,0.3548387096774194,0.0
266,10,2,3,3,SR,-0.4,0.1,0.4193548387096774,0.0
267,11,2,4,3,SR,-0.4,0.1,0.4838709677419355,0.0
268,12,2,5,3,SR,-0.4,0.1,0.3225806451612903,1.0
269,13,2,6,3,SR,-0.4,0.1,0.4838709677419355,1.0
270,14,2,7,3,SR,-0.4,0.1,0.4193548387096774,1.0
271,15,2,8,3,SR,-0.4,0.1,0.4193548387096774,1.0
272,16,3,1,3,SR,-0.4,0.1,0.3870967741935484,0.0
273,17,3,2,3,SR,-0.4,0.1,0.4516129032258064,0.0
274,18,3,3,3,SR,-0.4,0.1,0.5161290322580645,0.0
275,19,3,4,3,SR,-0.4,0.1,0.5483870967741935,1.0
276,20,3,5,3,SR,-0.4,0.1,0.4193548387096774,1.0
277,21,3,6,3,SR,-0.4,0.1,0.4516129032258064,1.0
278,22,3,7,3,SR,-0.4,0.1,0.4838709677419355,1.0
279,23,3,8,3,SR,-0.4,0.1,0.4838709677419355,1.0
280,24,4,1,3,SR,-0.4,0.1,0.5483870967741935,0.0
281,25,4,2,3,SR,-0.4,0.1,0.5483870967741935,0.0
282,26,4,3,3,SR,-0.4,0.1,0.5161290322580645,0.0
283,27,4,4,3,SR,-0.4,0.1,0.6129032258064516,1.0
284,28,4,5,3,SR,-0.4,0.1,0.4838709677419355,1.0
285,29,4,6,3,SR,-0.4,0.1,0.3870967741935484,1.0
286,30,4,7,3,SR,-0.4,0.1,0.5161290322580645,1.0
287,31,4,8,3,SR,-0.4,0.1,0.5806451612903226,1.0
288,32,5,1,3,SR,-0.4,0.1,0.5806451612903226,0.0
289,33,5,2,3,SR,-0.4,0.1,0.6451612903225806,0.0
290,34,5,3,3,SR,-0.4,0.1,0.5161290322580645,1.0
291,35,5,4,3,SR,-0.4,0.1,0.6129032258064516,1.0
292,36,5,5,3,SR,-0.4,0.1,0.3225806451612903,1.0
293,37,5,6,3,SR,-0.4,0.1,0.3548387096774194,1.0
294,38,5,7,3,SR,-0.4,0.1,0.5806451612903226,1.0
295,39,5,8,3,SR,-0.4,0.1,0.5806451612903226,1.0
296,40,6,1,3,SR,-0.4,0.1,0.6774193548387096,0.0
297,41,6,2,3,SR,-0.4,0.1,0.6774193548387096,0.0
298,42,6,3,3,SR,-0.4,0.1,0.4516129032258064,1.0
299,43,6,4,3,SR,-0.4,0.1,0.4838709677419355,1.0
300,44,6,5,3,SR,-0.4,0.1,0.4838709677419355,1.0
301,45,6,6,3,SR,-0.4,0.1,0.5483870967741935,1.0
302,46,6,7,3,SR,-0.4,0.1,0.4838709677419355,1.0
303,47,6,8,3,SR,-0.4,0.1,0.5161290322580645,1.0
304,48,7,1,3,SR,-0.4,0.1,0.5161290322580645,0.0
305,49,7,2,3,SR,-0.4,0.1,0.5483870967741935,1.0
306,50,7,3,3,SR,-0.4,0.1,0.4838709677419355,1.0
307,51,7,4,3,SR,-0.4,0.1,0.5161290322580645,1.0
308,52,7,5,3,SR,-0.4,0.1,0.4516129032258064,1.0
309,53,7,6,3,SR,-0.4,0.1,0.5806451612903226,1.0
310,54,7,7,3,SR,-0.4,0.1,0.6451612903225806,1.0
311,55,7,8,3,SR,-0.4,0.1,0.6129032258064516,1.0
312,56,8,1,3,SR,-0.4,0.1,0.7096774193548387,0.0
313,57,8,2,3,SR,-0.4,0.1,0.7419354838709677,1.0
314,58,8,3,3,SR,-0.4,0.1,0.4193548387096774,1.0
315,59,8,4,3,SR,-0.4,0.1,0.5161290322580645,1.0
316,60,8,5,3,SR,-0.4,0.1,0.6129032258064516,1.0
317,61,8,6,3,SR,-0.4,0.1,0.5483870967741935,1.0
318,62,8,7,3,SR,-0.4,0.1,0.6129032258064516,1.0
319,63,8,8,3,SR,-0.4,0.1,0.5483870967741935,1.0
320,0,1,1,3,SR,-0.3,0.1,0.6129032258064516,0.0
321,1,1,2,3,SR,-0.3,0.1,0.3870967741935484,0.0
322,2,1,3,3,SR,-0.3,0.1,0.5483870967741935,0.0
323,3,1,4,3,SR,-0.3,0.1,0.7096774193548387,0.0
324,4,1,5,3,SR,-0.3,0.1,0.6451612903225806,1.0
325,5,1,6,3,SR,-0.3,0.1,0.6774193548387096,1.0
326,6,1,7,3,SR,-0.3,0.1,0.4838709677419355,1.0
327,7,1,8,3,SR,-0.3,0.1,0.3870967741935484,1.0
328,8,2,1,3,SR,-0.3,0.1,0.7741935483870968,0.0
329,9,2,2,3,SR,-0.3,0.1,0.4193548387096774,0.0
330,10,2,3,3,SR,-0.3,0.1,0.5161290322580645,0.0
