,X,Y,Motor_Status
0,1,1,0
1,1,2,0
2,1,3,0
3,1,4,0
4,1,5,1
5,1,6,
6,1,7,
7,1,8,
8,2,1,0
9,2,2,0
10,2,3,0
11,2,4,0
12,2,5,1
13,2,6,
14,2,7,
15,2,8,
16,3,1,0
17,3,2,0
18,3,3,0
19,3,4,1
20,3,5,
21,3,6,
22,3,7,
23,3,8,
24,4,1,0
25,4,2,0
26,4,3,0
27,4,4,1
28,4,5,
29,4,6,
30,4,7,
31,4,8,
32,5,1,0
33,5,2,0
34,5,3,1
35,5,4,
36,5,5,
37,5,6,
38,5,7,
39,5,8,
40,6,1,0
41,6,2,0
42,6,3,1
43,6,4,
44,6,5,
45,6,6,
46,6,7,
47,6,8,
48,7,1,0
49,7,2,
50,7,3,
51,7,4,
52,7,5,
53,7,6,
54,7,7,
55,7,8,
56,8,1,0
57,8,2,
58,8,3,
59,8,4,
60,8,5,
61,8,6,
62,8,7,
63,8,8,